,top_n_features,5_fold_average_f1_score,model_name
0,1,0.7703515244531858,naive_bayes
1,1,0.7736340258601799,logistic_regression
2,1,0.7703515244531858,decision_tree
3,2,0.7703515244531858,naive_bayes
4,2,0.7793910997307623,logistic_regression
5,2,0.7738820618970933,decision_tree
6,3,0.7703515244531858,naive_bayes
7,3,0.7963895695562578,logistic_regression
8,3,0.7956790568433839,decision_tree
9,4,0.7788859668485967,naive_bayes
10,4,0.797391817882281,logistic_regression
11,4,0.7956790568433839,decision_tree
12,5,0.770858840891892,naive_bayes
13,5,0.7970960649631008,logistic_regression
14,5,0.7956790568433839,decision_tree
15,6,0.7716027121473463,naive_bayes
16,6,0.8015765521388095,logistic_regression
17,6,0.8053044926867934,decision_tree
18,7,0.772564182251379,naive_bayes
19,7,0.8016578946662316,logistic_regression
20,7,0.8053044926867934,decision_tree
21,8,0.7729229939195893,naive_bayes
22,8,0.8056021183619109,logistic_regression
23,8,0.8024814009520208,decision_tree
24,9,0.7734992304035965,naive_bayes
25,9,0.8058879130834079,logistic_regression
26,9,0.8024814009520208,decision_tree
27,10,0.7735957164346623,naive_bayes
28,10,0.8059296215191235,logistic_regression
29,10,0.8024814009520208,decision_tree
30,11,0.7740892152879365,naive_bayes
31,11,0.807068389782651,logistic_regression
32,11,0.8024814009520208,decision_tree
